id,Name,Continent,Country,web,rank_points,latitude,longitude,Wave_data
22,"Darwin Island",America,Ecuador,https://galapagos-pro.com/en/galapagos-islands-diving/,96,1.67358,-91.9989,Yes
23,"Sodwana Bay",Africa,"South Africa",https://coraldivers.co.za/,96,-27.5377,32.6796,Yes
24,"Castle Rock, Komodo",Asia,Indonesia,https://www.notroublesjustbubbles.com/diving-destinations/indonesia/komodo/castle-rock,96,-8.438,119.552,Yes
25,"Manta Reef",Africa,Mozanbique,https://www.goldenpalmsbeachresort.com/manta-reef-inhambane-mozambique/,96,-23.9809,35.5225,Yes
26,"Sha`ab Rumi South",Africa,Sudan,https://royalevolution.com/diving-in-sudan/shaab-rumi/,96,19.9444,37.4084,Yes
27,"Ulong Channel",Oceania,Palau,https://fishnfins.com/index.php/dive-palau/dive-sites-palau/ulong-dives/151-ulong-channel,96,7.28535,134.249,Yes
28,"Maaya Thila",Asia,Maldives,https://divebooker.com/maaya-thila-baz13804,96,4.09119,72.8622,Yes
29,"Blue hole",Africa,Egypt,https://www.dahabdiverslodge.com/diving/diving-locations/bells-blue-hole/,96,28.572,34.5368,Yes
30,"Verde Island",Asia,Philippines,https://asiadivers.com/blog/verde-island-passage/,95,13.5338,121.11,Yes
31,"Poor Knights",Oceania,"New Zealand",https://www.zubludiving.com/destination/new-zealand/north-island/poor-knights-new-zealand,95,-35.4716,174.737,Yes
32,"Blue Magic",Asia,Indonesia,https://diveconcepts.com/blue-magic-raja-ampat,95,-0.556334,130.691,Yes
33,"Bikini atoll",Oceania,"Marshall Islands",https://www.bluewaterdivetravel.com/bikini-atoll-diving,95,11.4724,165.235,Yes
34,"Palancar Bricks",America,Mexico,https://www.reefsofcozumel.com/palancarbricks.html,95,20.5913,-86.8903,Yes
35,"South Point",Asia,Malaysia,https://www.sipadan.com/Sipadan/South-Point.php,95,4.12311,118.631,Yes
36,"Darwin Arch",America,Galapagos,https://www.divephotoguide.com/underwater-photography-travel/article/iconic-dive-site-darwins-arch/,95,1.6724,-91.99,Yes
37,"Jackson Reef",Africa,Egypt,https://www.redsea-diving.com/jackson-reef/,95,28.007,34.4729,Yes
38,"Wolf Island",America,Galapagos,https://scubadiverlife.com/dive-site-wolf-island-galapagos/,95,1.3839,-91.8241,Yes
39,"San Francisco Maru, Chuuk lagoon",Oceania,Micronesia,https://xray-mag.com/content/san-francisco-maru-wreck-chuuk-lagoon,95,7.60539,151.639,Yes
40,"Magic Mountain, Raja Ampat",Asia,Indonesia,https://diveconcepts.com/magic-mountain-raja-ampat,94,-1.04999,130.464,Yes
41,Bunaken,Asia,Indonesia,https://www.zubludiving.com/articles/zublu-insights/beautiful-bunaken,94,1.60943,124.753,Yes
42,"Apo Reef ",Asia,Philippines,https://dugongdivecenter.com/v3/dive-sites/apo-reef-marine-park/,94,12.6757,120.475,Yes
43,Daedalus,Africa,Egypt,https://www.padi.com/diving-in/daedalus-reef/,94,24.9505,35.8347,Yes
44,Similans,Asia,Thailand,https://www.sunrise-divers.com/dive-sites/similan-islands/,94,8.5816,97.6545,Yes
45,"Cod Hole",Oceania,Australia,https://cairnsdiveadventures.com.au/liveaboard-diving-cairns/cod-hole/,94,-18.2442,147.722,Yes
